source_id,title,domain,country,category,subcategory,file_type,file_path,url
5f736a91,60fe3cfba609b532_fcf3ad07ac,unknown,unknown,cooling,,txt,corpus_text/60fe3cfba609b532_fcf3ad07ac.txt,
bdd3eb0c,e7783c47cafc9ed3_1c66b4d4f7,unknown,unknown,fiber,,txt,corpus_text/e7783c47cafc9ed3_1c66b4d4f7.txt,
494589d3,03d68355986b44a5_54f3ad4eee,unknown,unknown,fiber,,txt,corpus_text/03d68355986b44a5_54f3ad4eee.txt,
35db0cc4,84ddf9ddb91958f9_4ae33425ca,unknown,unknown,power,,txt,corpus_text/84ddf9ddb91958f9_4ae33425ca.txt,
d75db1d1,554df8ec25abc7bf_1e29135770,unknown,unknown,power,,txt,corpus_text/554df8ec25abc7bf_1e29135770.txt,
491761c6,9980e5b9c59f0611_2abfb321a9,unknown,unknown,government,,txt,corpus_text/9980e5b9c59f0611_2abfb321a9.txt,
aac29cb2,c4d366c31ff9a13c_d8fd116a16,unknown,unknown,power,,txt,corpus_text/c4d366c31ff9a13c_d8fd116a16.txt,
cd502173,c0bb160cbe9c1041_e54fedba08,unknown,unknown,government,,txt,corpus_text/c0bb160cbe9c1041_e54fedba08.txt,
05e1628f,e0e951a1c0d28ca5_7a4e6e5297,unknown,unknown,power,,txt,corpus_text/e0e951a1c0d28ca5_7a4e6e5297.txt,
1fdd6f07,48b68afabf706bc8_c29b595872,unknown,unknown,fiber,,txt,corpus_text/48b68afabf706bc8_c29b595872.txt,
3b4cc3a9,ca2d3d8123c2653a_dbd4a4be4b,unknown,unknown,government,,txt,corpus_text/ca2d3d8123c2653a_dbd4a4be4b.txt,
d54acc76,37504076ba469a4f_9a813fdfc5,unknown,unknown,government,,txt,corpus_text/37504076ba469a4f_9a813fdfc5.txt,
14b8c51c,7caca2ddcac0e653_e50eb4fbc5,unknown,unknown,Arctic,,txt,corpus_text/7caca2ddcac0e653_e50eb4fbc5.txt,
960e01ec,f991e9104b616f8f_cfff6a9c88,unknown,unknown,AI,,txt,corpus_text/f991e9104b616f8f_cfff6a9c88.txt,
d1652280,266fc0d814f29ce7_4654cd613c,unknown,unknown,power,,txt,corpus_text/266fc0d814f29ce7_4654cd613c.txt,
63fffd1b,5c1a8a2050548fe6_02f4773b03,unknown,unknown,government,,txt,corpus_text/5c1a8a2050548fe6_02f4773b03.txt,
